y,month_num,season,race_grp,male_bin,age_num,age_z,crime_grp,borough,precinct,precinct_idx,frisked_bin,searched_bin,weapon_found_bin,firearm_bin,violent_bg_bin,known_weapon_bin,self_init
0,1,Winter,Black,1,24.0,-0.33651197,Weapon,Bronx,40,23,1,1,0,0,0,0,1
0,1,Winter,Black,1,20.0,-0.6814796,Weapon,Bronx,40,23,1,0,0,0,0,0,1
0,1,Winter,Black,1,17.0,-0.9402053,Weapon,Bronx,45,28,1,0,0,0,1,0,0
1,1,Winter,Black,1,41.0,1.1296004,Property/Theft,Brooklyn,60,35,1,1,0,0,0,0,0
1,1,Winter,Black,1,50.0,1.9057775,Weapon,Brooklyn,77,49,0,1,0,0,0,0,0
0,1,Winter,Black,1,17.0,-0.9402053,Other,Brooklyn,79,51,0,0,0,0,0,0,1
0,1,Winter,Black,1,18.0,-0.8539634,Weapon,Queens,101,59,1,0,0,0,0,0,0
1,1,Winter,White Hispanic,1,59.0,2.6819546,Property/Theft,Manhattan,1,1,0,1,0,0,0,0,0
1,1,Winter,White,1,33.0,0.43966514,Property/Theft,Manhattan,1,1,0,0,0,0,0,0,0
1,1,Winter,Black Hispanic,1,40.0,1.0433584,Property/Theft,Manhattan,6,3,0,0,0,0,0,0,0
0,1,Winter,Black,1,17.0,-0.9402053,Weapon,Bronx,42,25,1,0,0,0,0,0,1
0,1,Winter,Black,1,16.0,-1.0264472,Weapon,Bronx,42,25,1,1,0,0,0,0,1
0,1,Winter,Black,1,20.0,-0.6814796,Weapon,Bronx,44,27,1,1,1,0,0,0,1
0,1,Winter,Black,1,18.0,-0.8539634,Weapon,Bronx,48,31,1,1,0,0,0,0,1
0,1,Winter,Black,1,25.0,-0.25027007,Weapon,Bronx,48,31,1,0,0,0,0,0,1
1,1,Winter,Black,1,16.0,-1.0264472,Trespass,Brooklyn,79,51,0,1,0,0,0,0,1
1,1,Winter,Black Hispanic,1,16.0,-1.0264472,Property/Theft,Queens,107,65,0,1,0,0,0,0,0
0,1,Winter,Black Hispanic,1,25.0,-0.25027007,Property/Theft,Queens,107,65,0,0,0,0,0,0,0
0,1,Winter,Black Hispanic,1,20.0,-0.6814796,Property/Theft,Queens,107,65,0,0,0,0,0,0,0
0,1,Winter,Black,1,23.0,-0.42275387,Weapon,Bronx,48,31,1,0,0,0,1,0,1
0,1,Winter,Black,1,17.0,-0.9402053,Weapon,Bronx,48,31,1,0,0,0,0,0,1
1,1,Winter,White,1,33.0,0.43966514,Property/Theft,Brooklyn,60,35,1,1,0,0,1,0,1
1,1,Winter,White Hispanic,1,26.0,-0.16402817,Violence,Queens,107,65,1,1,0,0,1,0,0
0,1,Winter,White,1,55.0,2.336987,Property/Theft,Queens,115,73,1,0,0,0,0,0,0
0,1,Winter,White Hispanic,1,40.0,1.0433584,Property/Theft,Manhattan,7,4,0,0,0,0,0,0,0
0,1,Winter,White Hispanic,1,46.0,1.5608099,Property/Theft,Manhattan,7,4,0,0,0,0,0,0,0
0,1,Winter,Black Hispanic,1,31.0,0.26718134,Weapon,Manhattan,33,21,1,0,0,0,1,0,0
0,1,Winter,White Hispanic,1,30.0,0.18093944,Weapon,Bronx,44,27,1,1,0,0,0,0,1
0,1,Winter,Black Hispanic,1,29.0,0.094697535,Weapon,Bronx,46,29,1,0,0,0,1,0,1
0,1,Winter,White Hispanic,1,34.0,0.52590704,Other,Bronx,46,29,0,0,0,0,0,0,1
0,1,Winter,Black,1,40.0,1.0433584,Weapon,Bronx,49,32,0,1,0,0,0,0,1
0,1,Winter,White Hispanic,1,25.0,-0.25027007,Weapon,Bronx,49,32,1,0,0,0,0,0,1
0,1,Winter,Black,1,30.0,0.18093944,Property/Theft,Brooklyn,60,35,1,0,0,0,1,0,0
0,1,Winter,Black,1,37.0,0.78463274,Weapon,Brooklyn,67,40,1,0,0,0,1,0,0
1,1,Winter,White Hispanic,1,31.0,0.26718134,Property/Theft,Brooklyn,68,41,0,0,0,0,0,0,1
1,1,Winter,Black,1,15.0,-1.1126891,Property/Theft,Brooklyn,68,41,0,1,0,0,0,0,0
1,1,Winter,Black,1,14.0,-1.198931,Property/Theft,Brooklyn,68,41,0,0,0,0,0,0,0
1,1,Winter,Black,1,16.0,-1.0264472,Property/Theft,Brooklyn,68,41,0,1,0,0,0,0,0
0,1,Winter,White Hispanic,1,24.0,-0.33651197,Property/Theft,Brooklyn,68,41,1,1,0,0,1,0,1
1,1,Winter,Black,1,29.0,0.094697535,Property/Theft,Brooklyn,94,57,0,1,0,0,0,0,1
0,1,Winter,White Hispanic,1,16.0,-1.0264472,Other,Queens,114,72,1,0,0,0,0,0,1
1,1,Winter,Black,1,29.0,0.094697535,Violence,Manhattan,34,22,0,0,0,0,0,0,0
0,1,Winter,Black Hispanic,1,17.0,-0.9402053,Weapon,Bronx,40,23,1,0,0,0,0,0,1
1,1,Winter,Black,1,21.0,-0.5952377,Weapon,Bronx,43,26,1,1,1,0,0,0,1
0,1,Winter,Black,1,20.0,-0.6814796,Weapon,Bronx,44,27,1,0,0,0,0,0,1
0,1,Winter,Black Hispanic,1,40.0,1.0433584,Weapon,Bronx,46,29,1,0,0,0,1,0,0
0,1,Winter,Black,1,15.0,-1.1126891,Weapon,Bronx,48,31,1,0,0,0,0,0,1
0,1,Winter,Black,1,50.0,1.9057775,Weapon,Bronx,52,34,1,1,1,0,0,0,1
0,1,Winter,Black,1,21.0,-0.5952377,Other,Brooklyn,73,46,0,0,0,0,0,0,1
0,1,Winter,Black,1,14.0,-1.198931,Weapon,Queens,113,71,1,0,0,0,1,0,0
1,1,Winter,White Hispanic,1,20.0,-0.6814796,Other,Queens,115,73,0,1,1,0,0,0,0
1,1,Winter,Black,1,25.0,-0.25027007,Violence,Manhattan,26,17,0,0,0,0,0,0,1
0,1,Winter,Black,1,16.0,-1.0264472,Property/Theft,Brooklyn,67,40,1,1,0,0,0,0,0
0,1,Winter,White,1,45.0,1.474568,Property/Theft,Manhattan,14,8,0,0,0,0,0,0,0
0,1,Winter,Black,1,18.0,-0.8539634,Weapon,Manhattan,25,16,1,0,0,0,0,0,1
0,1,Winter,White Hispanic,1,15.0,-1.1126891,Weapon,Manhattan,25,16,1,0,0,0,0,0,1
0,1,Winter,White Hispanic,1,17.0,-0.9402053,Weapon,Manhattan,28,18,1,0,0,0,0,0,1
0,1,Winter,Black,1,20.0,-0.6814796,Other,Manhattan,28,18,1,0,0,0,1,0,1
1,1,Winter,Black Hispanic,1,32.0,0.35342324,Violence,Bronx,41,24,0,1,0,0,0,0,0
0,1,Winter,Black,1,35.0,0.61214894,Weapon,Bronx,44,27,1,0,0,0,0,0,1
0,1,Winter,White Hispanic,1,20.0,-0.6814796,Weapon,Bronx,44,27,1,0,0,0,0,0,1
0,1,Winter,Black,1,30.0,0.18093944,Weapon,Bronx,52,34,1,0,0,0,0,0,1
0,1,Winter,Black,1,18.0,-0.8539634,Property/Theft,Brooklyn,61,36,0,0,0,0,0,0,0
0,1,Winter,Black,1,17.0,-0.9402053,Property/Theft,Brooklyn,61,36,0,0,0,0,0,0,0
0,1,Winter,Black,1,30.0,0.18093944,Weapon,Brooklyn,73,46,1,0,0,0,0,0,1
0,1,Winter,Black,1,28.0,0.008455635,Weapon,Brooklyn,75,47,1,1,0,0,0,0,1
0,1,Winter,Black,1,36.0,0.69839084,Weapon,Brooklyn,79,51,1,0,0,0,1,0,0
1,1,Winter,Black,1,47.0,1.6470518,Property/Theft,Brooklyn,88,55,0,1,0,0,0,0,0
1,1,Winter,White Hispanic,1,36.0,0.69839084,Violence,Manhattan,1,1,0,1,0,0,0,0,0
1,1,Winter,White Hispanic,1,19.0,-0.7677215,Weapon,Bronx,40,23,1,1,1,1,0,0,1
1,1,Winter,Black,1,38.0,0.87087464,Weapon,Bronx,46,29,1,1,1,1,0,0,1
0,1,Winter,White,0,56.0,2.423229,Other,Bronx,48,31,0,1,0,0,0,0,1
0,1,Winter,White Hispanic,1,21.0,-0.5952377,Weapon,Bronx,50,33,1,0,0,0,0,1,1
0,1,Winter,Black Hispanic,1,33.0,0.43966514,Weapon,Bronx,50,33,1,0,0,0,1,1,1
0,1,Winter,Black,1,20.0,-0.6814796,Property/Theft,Brooklyn,67,40,1,0,0,0,0,0,1
1,1,Winter,Black,1,37.0,0.78463274,Property/Theft,Brooklyn,67,40,0,1,0,0,0,0,0
1,1,Winter,Black,1,26.0,-0.16402817,Violence,Brooklyn,70,43,0,1,0,0,0,0,0
0,1,Winter,Black,1,16.0,-1.0264472,Weapon,Brooklyn,75,47,1,1,1,0,1,0,0
0,1,Winter,Black,1,38.0,0.87087464,Weapon,Brooklyn,75,47,1,1,1,0,1,0,0
0,1,Winter,Black,1,25.0,-0.25027007,Weapon,Brooklyn,75,47,1,0,0,0,0,0,1
